activity	time	p
China	1990	52.02161163073689
China	1991	52.08325862075971
China	1992	51.500917273895396
China	1993	50.6329287764707
China	1994	49.9426959069822
China	1995	49.6031103132985
China	1996	48.3924522744438
China	1997	48.0012409400067
China	1998	47.907643981997204
China	1999	47.3966896762665
China	2000	46.200056347888896
China	2001	45.2523408153918
China	2002	43.599339812690204
China	2003	41.606234661809
China	2004	39.8428260613506
China	2005	38.5730966495374
China	2006	37.6015877423412
China	2007	37.0137663297364
China	2008	36.7435137159405
China	2009	36.6013371826769
China	2010	36.489722882657
China	2011	36.5541919887164
China	2012	36.6549076506147
China	2013	36.834603872708
China	2014	37.175639895648395
China	2015	37.71385735158329
China	2016	38.4988746045366
China	2017	39.4359455718714
China	2018	40.445268750093796
India	1990	71.733071448654
India	1991	71.309031550229
India	1992	70.8021575311115
India	1993	70.1952381207558
India	1994	69.4566977544078
India	1995	68.5869359474168
India	1996	67.8836178170107
India	1997	67.0641950918761
India	1998	66.1515951085447
India	1999	65.1808233815779
India	2000	64.1803725759656
India	2001	63.428101425460206
India	2002	62.6032528551153
India	2003	61.731576425163496
India	2004	60.8392023472969
India	2005	59.9417432152341
India	2006	59.2142970399348
India	2007	58.472049800348394
India	2008	57.705702890706704
India	2009	56.882513750684296
India	2010	55.98626006362579
India	2011	55.2086374202875
India	2012	54.307844253388005
India	2013	53.354266338760205
India	2014	52.4483667544744
India	2015	51.643441741344795
India	2016	50.888137037370704
India	2017	50.289637256324504
India	2018	49.775166946125296
Iraq	1990	98.4890702957148
Iraq	1991	97.1362368298212
Iraq	1992	95.6420197888018
Iraq	1993	94.12420267848209
Iraq	1994	92.73572849266891
Iraq	1995	91.5442644344515
Iraq	1996	90.3337482264168
Iraq	1997	89.3272417731308
Iraq	1998	88.441257276918
Iraq	1999	87.54990288179708
Iraq	2000	86.59471417342829
Iraq	2001	86.07872744250342
Iraq	2002	85.4191380808135
Iraq	2003	84.6756008339478
Iraq	2004	83.91685626467421
Iraq	2005	83.1509689034405
Iraq	2006	83.0907809458909
Iraq	2007	83.0171123512208
Iraq	2008	82.8700992858365
Iraq	2009	82.6374776968
Iraq	2010	82.3656303235622
Iraq	2011	80.3793347710311
Iraq	2012	78.5303425340529
Iraq	2013	76.8332994141582
Iraq	2014	75.22713439729529
Iraq	2015	73.654100285337
Iraq	2016	73.166684364586
Iraq	2017	72.4310593159324
Iraq	2018	71.55649884688941
Japan	1990	43.561654278546804
Japan	1991	43.3250339185579
Japan	1992	43.299349016834896
Japan	1993	43.4519802106393
Japan	1994	43.6928783408039
Japan	1995	43.9754301859771
Japan	1996	44.360731360207005
Japan	1997	44.83795181990929
Japan	1998	45.3774034197182
Japan	1999	45.953315777734296
Japan	2000	46.55949158416121
Japan	2001	47.245986226978104
Japan	2002	47.922296160737105
Japan	2003	48.628652296165896
Japan	2004	49.4218643621012
Japan	2005	50.3357743664217
Japan	2006	51.2051727794122
Japan	2007	52.1708168257523
Japan	2008	53.2529944725622
Japan	2009	54.4839327335742
Japan	2010	55.89157877635299
Japan	2011	57.391771133726394
Japan	2012	59.0341434265202
Japan	2013	60.749766064914205
Japan	2014	62.41989692980129
Japan	2015	63.9578508093031
Japan	2016	65.3061318795137
Japan	2017	66.4554629240626
Japan	2018	67.4290802202976
Kenya	1990	106.57879590593201
Kenya	1991	105.028612966557
Kenya	1992	103.087520620625
Kenya	1993	100.926224107304
Kenya	1994	98.7718933484815
Kenya	1995	96.7521503417547
Kenya	1996	95.2886177337356
Kenya	1997	94.15835706436769
Kenya	1998	93.1445208496945
Kenya	1999	91.9710960222246
Kenya	2000	90.5554089036542
Kenya	2001	89.9158540591562
Kenya	2002	88.80843235988529
Kenya	2003	87.5108053661772
Kenya	2004	86.3807030832317
Kenya	2005	85.5557940133779
Kenya	2006	84.9058304196616
Kenya	2007	84.5312518474135
Kenya	2008	84.2591822976259
Kenya	2009	83.8123014386075
Kenya	2010	83.06199029129391
Kenya	2011	82.3154865815793
Kenya	2012	81.2304601673502
Kenya	2013	79.91623598190421
Kenya	2014	78.52718150078421
Kenya	2015	77.1299853344741
Kenya	2016	75.679922398345
Kenya	2017	74.2345984445699
Kenya	2018	72.7752887244185
Mexico	1990	77.0110079911563
Mexico	1991	75.608908961618
Mexico	1992	74.251693970925
Mexico	1993	72.9599275353706
Mexico	1994	71.78321373192591
Mexico	1995	70.7285766224594
Mexico	1996	69.3458995675134
Mexico	1997	68.0963386318801
Mexico	1998	66.95949603207461
Mexico	1999	65.8941862653638
Mexico	2000	64.873301337638
Mexico	2001	63.662127137398606
Mexico	2002	62.6003654083526
Mexico	2003	61.647601178353604
Mexico	2004	60.7578281068791
Mexico	2005	59.903241867034
Mexico	2006	59.0717290467478
Mexico	2007	58.1309588894423
Mexico	2008	57.1493148546291
Mexico	2009	56.222623351702396
Mexico	2010	55.402254465979205
Mexico	2011	54.610101031698704
Mexico	2012	53.948481109252995
Mexico	2013	53.3853100322534
Mexico	2014	52.861230752403095
Mexico	2015	52.3477199261289
Mexico	2016	51.925374446132096
Mexico	2017	51.469241270074605
Mexico	2018	51.0129948030625
Nepal	1990	85.0334842925665
Nepal	1991	84.9124330632948
Nepal	1992	84.54104366475708
Nepal	1993	83.97183189389492
Nepal	1994	83.2602283599567
Nepal	1995	82.4499627803639
Nepal	1996	82.3404329959112
Nepal	1997	82.18257626717771
Nepal	1998	81.9484347407593
Nepal	1999	81.5547925248735
Nepal	2000	80.931819148818
Nepal	2001	80.40727838351279
Nepal	2002	79.7195762461592
Nepal	2003	78.91788546671579
Nepal	2004	78.08170924741509
Nepal	2005	77.21720967065109
Nepal	2006	75.5951406182205
Nepal	2007	74.2338209707995
Nepal	2008	73.02150426704921
Nepal	2009	71.77001894269391
Nepal	2010	70.3607213177654
Nepal	2011	69.3679884580346
Nepal	2012	68.05821531474591
Nepal	2013	66.5378867295848
Nepal	2014	65.0211789108155
Nepal	2015	63.64996986578421
Nepal	2016	61.0904044270959
Nepal	2017	58.7331785212514
Nepal	2018	56.5972960751091
Pakistan	1990	88.3434959719433
Pakistan	1991	88.933614828185
Pakistan	1992	89.26317356529181
Pakistan	1993	89.37281454527901
Pakistan	1994	89.31547542370008
Pakistan	1995	89.1100724509609
Pakistan	1996	88.6868679445479
Pakistan	1997	88.06222160423259
Pakistan	1998	87.2514417869514
Pakistan	1999	86.2455701815063
Pakistan	2000	85.047923789524
Pakistan	2001	84.069873073367
Pakistan	2002	82.907523641808
Pakistan	2003	81.6040954955288
Pakistan	2004	80.22215067440709
Pakistan	2005	78.8088999274442
Pakistan	2006	77.5144628625767
Pakistan	2007	76.1915805470413
Pakistan	2008	74.85708366835071
Pakistan	2009	73.5251829271861
Pakistan	2010	72.2139697564309
Pakistan	2011	71.18307740391229
Pakistan	2012	70.16069073866029
Pakistan	2013	69.16714402483849
Pakistan	2014	68.2266030834247
Pakistan	2015	67.3546151257291
Pakistan	2016	66.7048030584432
Pakistan	2017	66.0921456528151
Pakistan	2018	65.5152020756539
Saudi Arabia	1990	81.2314254586302
Saudi Arabia	1991	81.8339053080468
Saudi Arabia	1992	82.3105209914545
Saudi Arabia	1993	82.4005285347352
Saudi Arabia	1994	81.8918158084815
Saudi Arabia	1995	80.77842397122721
Saudi Arabia	1996	78.03859991340259
Saudi Arabia	1997	75.38814521457391
Saudi Arabia	1998	73.1727851459722
Saudi Arabia	1999	71.5265318561406
Saudi Arabia	2000	70.2808047724475
Saudi Arabia	2001	67.5015711190594
Saudi Arabia	2002	64.96646095771621
Saudi Arabia	2003	62.625849260275096
Saudi Arabia	2004	60.4153784244071
Saudi Arabia	2005	58.324289608639
Saudi Arabia	2006	56.1171260002461
Saudi Arabia	2007	53.945085500335296
Saudi Arabia	2008	51.91016527572129
Saudi Arabia	2009	50.102348006896804
Saudi Arabia	2010	48.528581047517
Saudi Arabia	2011	46.3382898637141
Saudi Arabia	2012	44.467228051168696
Saudi Arabia	2013	42.8933464920506
Saudi Arabia	2014	41.5898467827838
Saudi Arabia	2015	40.5354155136369
Saudi Arabia	2016	40.116875156048
Saudi Arabia	2017	39.7948324923324
Saudi Arabia	2018	39.5808550272483
South Africa	1990	78.84958442832641
South Africa	1991	77.5929301356237
South Africa	1992	76.2285530706336
South Africa	1993	74.7503891829559
South Africa	1994	73.1271604852385
South Africa	1995	71.3610420744352
South Africa	1996	69.6956153735245
South Africa	1997	67.959161203276
South Africa	1998	66.13952678167149
South Africa	1999	64.2362301323749
South Africa	2000	62.284185677295504
South Africa	2001	60.8249946887239
South Africa	2002	59.2719899017689
South Africa	2003	57.7089757530429
South Africa	2004	56.2653257229743
South Africa	2005	55.02217294325911
South Africa	2006	54.243620480753094
South Africa	2007	53.6495016830052
South Africa	2008	53.206446803743496
South Africa	2009	52.834870189852296
South Africa	2010	52.4919380218402
South Africa	2011	52.4754112804283
South Africa	2012	52.3746406215284
South Africa	2013	52.2634083893824
South Africa	2014	52.2185594991572
South Africa	2015	52.25465057959661
South Africa	2016	52.289474576952706
South Africa	2017	52.368039896373396
South Africa	2018	52.4332012131419
